ABOs,Original P4 CTS URN,Perseus Abbreviation,Language,Perseus text ID,Authors,Work,"Other Abbreviations (LSJ, OCD, etc)",Notes
"Perseus:abo:tlg,0013,002",urn:cts:greekLit:tlg0013.tlg002.perseus-eng1,HH 2,English,Perseus:text:1999.01.0138:hymn=2,Homeric Hymns,Hymn 2 to Demeter,h.Hom. h.Cer.,
"Perseus:abo:tlg,0013,003",urn:cts:greekLit:tlg0013.tlg003.perseus-eng1,HH 3,English,Perseus:text:1999.01.0138:hymn=3,Homeric Hymns,Hymn 3 to Apollo,h.Hom.h.Ap.,
"Perseus:abo:tlg,0013,004",urn:cts:greekLit:tlg0013.tlg004.perseus-eng1,HH 4,English,Perseus:text:1999.01.0138:hymn=4,Homeric Hymns,Hymn 4 to Hermes,h.Hom. h.Merc.,
"Perseus:abo:tlg,0013,005",urn:cts:greekLit:tlg0013.tlg005.perseus-eng1,HH 5,English,Perseus:text:1999.01.0138:hymn=5,Homeric Hymns,Hymn 5 to Aphrodite,h.Hom. h.Ven.,
"Perseus:abo:tlg,0013,006",urn:cts:greekLit:tlg0013.tlg006.perseus-eng1,HH 6,English,Perseus:text:1999.01.0138:hymn=6,Homeric Hymns,Hymn 6 to Aphrodite,h.Hom.h.Ven.2,
"Perseus:abo:tlg,0013,007",urn:cts:greekLit:tlg0013.tlg007.perseus-eng1,HH 7,English,Perseus:text:1999.01.0138:hymn=7,Homeric Hymns,Hymn 7 to Dionysus,h.Hom. h.Bacch. 2,
"Perseus:abo:tlg,0013,008",urn:cts:greekLit:tlg0013.tlg008.perseus-eng1,HH 8,English,Perseus:text:1999.01.0138:hymn=8,Homeric Hymns,Hymn 8 to Ares,h.Hom. h.Mart.,
"Perseus:abo:tlg,0013,009",urn:cts:greekLit:tlg0013.tlg009.perseus-eng1,HH 9,English,Perseus:text:1999.01.0138:hymn=9,Homeric Hymns,Hymn 9 to Artemis,h.Hom.h.Dianam,
"Perseus:abo:tlg,0013,010",urn:cts:greekLit:tlg0013.tlg010.perseus-eng1,HH 10,English,Perseus:text:1999.01.0138:hymn=10,Homeric Hymns,Hymn 10 to Aphrodite,h.Hom.h.Ven.3,
"Perseus:abo:tlg,0013,011",urn:cts:greekLit:tlg0013.tlg011.perseus-eng1,HH 11,English,Perseus:text:1999.01.0138:hymn=11,Homeric Hymns,Hymn 11 to Athena,h.Hom.h.Ath.,
"Perseus:abo:tlg,0013,012",urn:cts:greekLit:tlg0013.tlg012.perseus-eng1,HH 12,English,Perseus:text:1999.01.0138:hymn=12,Homeric Hymns,Hymn 12 to Hera,h.Hom. 12,
"Perseus:abo:tlg,0013,013",urn:cts:greekLit:tlg0013.tlg013.perseus-eng1,HH 13,English,Perseus:text:1999.01.0138:hymn=13,Homeric Hymns,Hymn 13 to Demeter,h.Hom. h.Cer.; Hom. Hymn Dem.,
"Perseus:abo:tlg,0013,014",urn:cts:greekLit:tlg0013.tlg014.perseus-eng1,HH 14,English,Perseus:text:1999.01.0138:hymn=14,Homeric Hymns,Hymn 14 to the Mother of the Gods,h.Hom. 14,
"Perseus:abo:tlg,0013,015",urn:cts:greekLit:tlg0013.tlg015.perseus-eng1,HH 15,English,Perseus:text:1999.01.0138:hymn=15,Homeric Hymns,Hymn 15 to Heracles,h.Hom. 15,
"Perseus:abo:tlg,0013,016",urn:cts:greekLit:tlg0013.tlg016.perseus-eng1,HH 16,English,Perseus:text:1999.01.0138:hymn=16,Homeric Hymns,Hymn 16 to Asclepius,h.Hom. 16,
"Perseus:abo:tlg,0013,017",urn:cts:greekLit:tlg0013.tlg017.perseus-eng1,HH 17,English,Perseus:text:1999.01.0138:hymn=17,Homeric Hymns,Hymn 17 to the Dioscuri,h.Hom.h.Cast.,
"Perseus:abo:tlg,0013,018",urn:cts:greekLit:tlg0013.tlg018.perseus-eng1,HH 18,English,Perseus:text:1999.01.0138:hymn=18,Homeric Hymns,Hymn 18 to Hermes,h.Hom. h.Merc.,
"Perseus:abo:tlg,0013,019",urn:cts:greekLit:tlg0013.tlg019.perseus-eng1,HH 19,English,Perseus:text:1999.01.0138:hymn=19,Homeric Hymns,Hymn 19 to Pan,h.Hom. h.Pan.; Hymn. Hom. Pan.,
"Perseus:abo:tlg,0013,020",urn:cts:greekLit:tlg0013.tlg020.perseus-eng1,HH 20,English,Perseus:text:1999.01.0138:hymn=20,Homeric Hymns,Hymn 20 to Hephaestus,h.Hom. 20,
"Perseus:abo:tlg,0013,021",urn:cts:greekLit:tlg0013.tlg021.perseus-eng1,HH 21,English,Perseus:text:1999.01.0138:hymn=21,Homeric Hymns,Hymn 21 to Apollo,h.Hom.h.Ap. 2,
"Perseus:abo:tlg,0013,022",urn:cts:greekLit:tlg0013.tlg022.perseus-eng1,HH 22,English,Perseus:text:1999.01.0138:hymn=22,Homeric Hymns,Hymn 22 to Poseidon,h.Hom. 22,
"Perseus:abo:tlg,0013,023",urn:cts:greekLit:tlg0013.tlg023.perseus-eng1,HH 23,English,Perseus:text:1999.01.0138:hymn=23,Homeric Hymns,Hymn 23 to Zeus,h.Hom. 23,
"Perseus:abo:tlg,0013,024",urn:cts:greekLit:tlg0013.tlg024.perseus-eng1,HH 24,English,Perseus:text:1999.01.0138:hymn=24,Homeric Hymns,Hymn 24 to Hestia,h.Hom.h.Hest.,
"Perseus:abo:tlg,0013,025",urn:cts:greekLit:tlg0013.tlg025.perseus-eng1,HH 25,English,Perseus:text:1999.01.0138:hymn=25,Homeric Hymns,Hymn 25 to the Muses and Apollo,h.Hom. 25,
"Perseus:abo:tlg,0013,026",urn:cts:greekLit:tlg0013.tlg026.perseus-eng1,HH 26,English,Perseus:text:1999.01.0138:hymn=26,Homeric Hymns,Hymn 26 to Dionysus,h.Hom.h.Bacch. 3,
"Perseus:abo:tlg,0013,027",urn:cts:greekLit:tlg0013.tlg027.perseus-eng1,HH 27,English,Perseus:text:1999.01.0138:hymn=27,Homeric Hymns,Hymn 27 to Artemis,h.Hom.h.Dian.2,
"Perseus:abo:tlg,0013,028",urn:cts:greekLit:tlg0013.tlg028.perseus-eng1,HH 28,English,Perseus:text:1999.01.0138:hymn=28,Homeric Hymns,Hymn 28 to Athena,h.Hom.h.Ath.,
"Perseus:abo:tlg,0013,029",urn:cts:greekLit:tlg0013.tlg029.perseus-eng1,HH 29,English,Perseus:text:1999.01.0138:hymn=29,Homeric Hymns,Hymn 29 to Hestia,h.Hom.h.Hest.2,
"Perseus:abo:tlg,0013,030",urn:cts:greekLit:tlg0013.tlg030.perseus-eng1,HH 30,English,Perseus:text:1999.01.0138:hymn=30,Homeric Hymns,Hymn 30 to Earth,h.Hom.h.Tell.,
"Perseus:abo:tlg,0013,031",urn:cts:greekLit:tlg0013.tlg031.perseus-eng1,HH 31,English,Perseus:text:1999.01.0138:hymn=31,Homeric Hymns,Hymn 31 to Helios,h.Hom.h.Sol.,
"Perseus:abo:tlg,0013,032",urn:cts:greekLit:tlg0013.tlg032.perseus-eng1,HH 32,English,Perseus:text:1999.01.0138:hymn=32,Homeric Hymns,Hymn 32 to Selene,h.Hom.h.Lun.,
"Perseus:abo:tlg,0013,033",urn:cts:greekLit:tlg0013.tlg033.perseus-eng1,HH 33,English,Perseus:text:1999.01.0138:hymn=33,Homeric Hymns,Hymn 33 to the Dioscuri,h.Hom.h.Cast.2,
"Perseus:abo:tlg,0013,001",urn:cts:greekLit:tlg0013.tlg001.perseus-grc1,HH 1,Greek,Perseus:text:1999.01.0137:hymn=1,Homeric Hymns,Hymn 1 to Dionysus,h.Hom.h.Bacch.,
"Perseus:abo:tlg,0013,002",urn:cts:greekLit:tlg0013.tlg002.perseus-grc1,HH 2,Greek,Perseus:text:1999.01.0137:hymn=2,Homeric Hymns,Hymn 2 to Demeter,h.Hom. h.Cer.,
"Perseus:abo:tlg,0013,003",urn:cts:greekLit:tlg0013.tlg003.perseus-grc1,HH 3,Greek,Perseus:text:1999.01.0137:hymn=3,Homeric Hymns,Hymn 3 to Apollo,h.Hom.h.Ap.,
"Perseus:abo:tlg,0013,004",urn:cts:greekLit:tlg0013.tlg004.perseus-grc1,HH 4,Greek,Perseus:text:1999.01.0137:hymn=4,Homeric Hymns,Hymn 4 to Hermes,h.Hom. h.Merc.,
